message;severity;node;stamp;topics;location
"Current DISPLAY environment variable: :0.0";"2";"/linefollow_controller";"1751108159.791645050";"/LineDetect/parameter_descriptions,/LineDetect/parameter_updates,/cmd_vel,/follow_cmd,/linefollow_enable,/linefollow_status,/rosout";"linefollow_controller.py:LineFollowController.start_linefollow:145"
"Starting line follow with command: roslaunch transbot_linefollow follow_line.launch img_flip:=false VideoSwitch:=false";"2";"/linefollow_controller";"1751108159.788747072";"/LineDetect/parameter_descriptions,/LineDetect/parameter_updates,/cmd_vel,/follow_cmd,/linefollow_enable,/linefollow_status,/rosout";"linefollow_controller.py:LineFollowController.start_linefollow:141"
"Launch arguments: ['img_flip:=false', 'VideoSwitch:=false']";"2";"/linefollow_controller";"1751108159.785212993";"/LineDetect/parameter_descriptions,/LineDetect/parameter_updates,/cmd_vel,/follow_cmd,/linefollow_enable,/linefollow_status,/rosout";"linefollow_controller.py:LineFollowController.start_linefollow:136"
"ODOM PUBLISH";"2";"/base_node";"1751108159.780011549";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.730035112";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.679356463";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.629242287";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.578487879";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.528644311";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.477972587";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.426660464";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.376433697";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.326788182";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.275486781";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.225094980";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.174611364";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.124124675";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.073775725";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108159.023238999";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.973111103";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.922684285";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.871911269";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.821248473";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"Line following function stopped successfully";"2";"/linefollow_controller";"1751108158.782159090";"/LineDetect/parameter_descriptions,/LineDetect/parameter_updates,/cmd_vel,/follow_cmd,/linefollow_enable,/linefollow_status,/rosout";"linefollow_controller.py:LineFollowController.stop_linefollow:289"
